Player,FG,FGA,FG.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zion Williamson  (NCAA),9,13.2,0.68,0.7,2.2,0.338,3.9,6.2,0.64,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6
Grant Riller  (NCAA) ,8,14.9,0.538,1.4,4.2,0.329,4.5,5.6,0.806,0.6,2.8,3.4,4.1,1.2,0.1,2.4,1.7,21.9
Mike Daum  (NCAA),8.7,16.9,0.512,2,5.5,0.37,5.9,7.1,0.838,2.4,9.3,11.7,1.8,0.7,1,2.2,2.9,25.3
Matt Morgan  (NCAA),6.9,13.5,0.512,3.3,7.7,0.431,5,5.8,0.86,0.2,4.3,4.5,3,1.4,0.3,3.4,2,22.2
Justin Wright-Foreman  (NCAA),9.4,18.5,0.511,3.1,7.4,0.425,5.1,5.9,0.864,0.3,3.7,4,2.9,0.9,0.2,2.6,1.9,27.1
Ja Morant  (NCAA),8,16.1,0.499,1.7,4.8,0.363,6.7,8.2,0.812,1.2,4.5,5.7,9.9,1.8,0.8,5.2,1.5,24.5
Lamine Diane  (NCAA),10.3,21.2,0.485,0.2,0.7,0.304,4,7.6,0.522,3.3,7.9,11.2,2.1,1.5,2.2,3.2,3.4,24.8
Cameron Young  (NCAA),7.2,14.9,0.482,3.4,7.7,0.437,5.8,7.6,0.766,1,4.1,5.1,1.9,1.1,0.3,2.9,2.2,23.5
Jordan Davis  (NCAA),8,16.8,0.477,1.7,4.7,0.362,5.8,7.2,0.8,0.9,3.8,4.7,4.7,1.4,0.3,3.3,2.3,23.4
Nick Mayo  (NCAA),7.9,17.1,0.462,1.7,5.3,0.331,6.1,7.1,0.864,2.3,6.5,8.7,2.3,1.2,1.8,2.7,2.7,23.7
RJ Barrett  (NCAA),8.4,18.5,0.454,1.9,6.2,0.308,3.9,5.9,0.665,1.6,6,7.6,4.3,0.9,0.4,3.2,1.8,22.6
Chris Clemons (NCAA),9.2,20.6,0.448,4.2,11.8,0.357,7.5,8.6,0.869,0.8,4.3,5.1,2.8,1.5,0.3,2.5,1.9,30.1
Myles Powell  (NCAA),7.4,16.6,0.447,3.1,8.7,0.363,5.1,6.1,0.84,0.8,3.2,4,2.9,2,0.2,2.9,2.2,23.1
Ty Cockfield  (NCAA),7.4,16.9,0.439,2.2,6.1,0.356,5.4,6.6,0.82,0.8,2.8,3.6,3.2,1.1,0.1,2.9,2,22.4
Jermaine Marrow  (NCAA),7.8,18.5,0.422,2.5,6.8,0.37,6.2,7.7,0.81,0.7,3.3,4.1,4.9,1.6,0.2,3.2,3.1,24.4
Markus Howard  (NCAA),7.4,17.6,0.42,3.5,8.8,0.403,6.7,7.5,0.89,0.4,3.6,4,3.9,1.1,0,3.9,2.1,25
Justin James  (NCAA),7.1,17.4,0.409,1.6,5.3,0.296,6.2,8.4,0.741,1,7.5,8.5,4.4,1.5,0.6,4.2,2.1,22.1
Antoine Davis  (NCAA),8.8,21.9,0.4,4.4,11.6,0.38,4.2,4.9,0.857,0.7,2.4,3.1,3.6,0.9,0,3.3,2.3,26.1
Carsen Edwards  (NCAA),7.7,19.5,0.394,3.8,10.6,0.355,5.1,6.1,0.837,0.4,3.2,3.6,2.9,1.3,0.3,3.1,2,24.3
Jhivvan Jackson  (NCAA),7.6,19.8,0.385,3.6,10.2,0.349,4,4.7,0.846,0.4,3.6,4.1,2.4,1.2,0.1,2.3,2.8,22.8
